#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
45,1,P9,,Defense,,,0:12.3,N/A,N/A,1:36.72,1:49.03,Live,,,,,"#07 Ana Milanovic, #04 Allison Clarke, #0 Sarah Deng, #13 Ivana Krajina, #11 Erica Finney",,,
46,),P9,,"Offense, Whistle",,,0:09.6,N/A,N/A,1:49.03,1:58.59,Live,,,,,"#0 Sarah Deng, #07 Ana Milanovic, #04 Allison Clarke, #11 Erica Finney, #13 Ivana Krajina, Half-court",,,
47,#,P9,,Defense,,,0:15.8,N/A,N/A,2:12.21,2:28.02,Live,,,,,"#08 Shanayka Ismar, #24 Kayla Jones, #55 Maya Hernandez, #03 Danae Powell, #06 Shawnee Nordstrom",,,
48,9,P9,,Offense,,,0:08.2,N/A,N/A,2:26.85,2:35.06,Live,,,,,"#03 Danae Powell, #08 Shanayka Ismar, #55 Maya Hernandez, #06 Shawnee Nordstrom, #24 Kayla Jones, Transition",,,
49,2,P9,,Defense,,,0:07.9,N/A,N/A,2:34.09,2:41.96,Live,,,,,"#03 Danae Powell, #08 Shanayka Ismar, #06 Shawnee Nordstrom, #24 Kayla Jones, #55 Maya Hernandez",,,
50,3,P9,,Offense,,,0:21.0,N/A,N/A,2:41.96,3:03.00,Live,,,,,"#55 Maya Hernandez, #08 Shanayka Ismar, #24 Kayla Jones, #03 Danae Powell, #06 Shawnee Nordstrom, Half-court",,,
51,9,P9,,"Defense, Deflection",,,0:09.8,N/A,N/A,3:32.13,3:41.95,Live,,,,,"#55 Maya Hernandez, #24 Kayla Jones, #03 Danae Powell, #06 Shawnee Nordstrom, #08 Shanayka Ismar",,,
52,#,P9,,Offense,,,0:08.9,N/A,N/A,3:40.31,3:49.18,Live,,,,,"#06 Shawnee Nordstrom, #08 Shanayka Ismar, #03 Danae Powell, #24 Kayla Jones, #55 Maya Hernandez, Transition",,,
53,9,P9,,Defense,,,0:08.3,N/A,N/A,3:43.53,3:51.79,Live,,,,,"#03 Danae Powell, #06 Shawnee Nordstrom, #08 Shanayka Ismar, #24 Kayla Jones, #55 Maya Hernandez",,,
54,2,P9,,Offense,,,0:05.9,N/A,N/A,3:50.38,3:56.29,Live,,,,,"#06 Shawnee Nordstrom, #24 Kayla Jones, #08 Shanayka Ismar, #55 Maya Hernandez, #03 Danae Powell, Transition",,,
55,),P9,,"Defense, Whistle",,,0:06.4,N/A,N/A,3:56.29,4:02.70,Live,,,,,"#06 Shawnee Nordstrom, #03 Danae Powell, #24 Kayla Jones, #55 Maya Hernandez, #08 Shanayka Ismar",,,
56,@,P9,,Defense,,,0:16.0,N/A,N/A,0:01.18,0:17.22,Live,,,,,"#06 Shawnee Nordstrom, #08 Shanayka Ismar, #55 Maya Hernandez, #03 Danae Powell, #24 Kayla Jones",,,
57,9,P9,,Offense,,,0:05.1,N/A,N/A,0:15.94,0:21.06,Live,,,,,"#03 Danae Powell, #08 Shanayka Ismar, #24 Kayla Jones, #06 Shawnee Nordstrom, #55 Maya Hernandez",,,
58,@-8-@-8-2,P9,,"Defense, Allow O-Board",,,0:07.8,N/A,N/A,0:20.05,0:27.80,Live,,,,,"#24 Kayla Jones, #55 Maya Hernandez, #06 Shawnee Nordstrom, #08 Shanayka Ismar, #03 Danae Powell",,,
59,3,P9,,Offense,,,0:15.9,N/A,N/A,0:27.80,0:43.70,Live,,,,,"#55 Maya Hernandez, #03 Danae Powell, #24 Kayla Jones, #06 Shawnee Nordstrom, #08 Shanayka Ismar, Half-court",,,
60,9,P9,,"Defense, Deflection, Allow Middle, Allow Paint Touch",,,0:13.6,N/A,N/A,0:40.70,0:54.26,Live,,,,,"#08 Shanayka Ismar, #55 Maya Hernandez, #24 Kayla Jones, #06 Shawnee Nordstrom, #03 Danae Powell",,,
61,9,P9,,Defense,,,0:11.8,N/A,N/A,2:08.86,2:20.70,Live,,,,,"#07 Ana Milanovic, #0 Sarah Deng, #24 Kayla Jones, #06 Shawnee Nordstrom, #13 Ivana Krajina",,,
62,@,P9,,Offense,,,0:11.0,N/A,N/A,2:19.05,2:30.03,Live,,,,,"#06 Shawnee Nordstrom, #07 Ana Milanovic, #13 Ivana Krajina, #24 Kayla Jones, #0 Sarah Deng, Transition",,,
63,@,P9,,Offense,,,0:07.1,N/A,N/A,2:19.49,2:26.59,Live,,,,,"#24 Kayla Jones, #07 Ana Milanovic, #0 Sarah Deng, #06 Shawnee Nordstrom, #13 Ivana Krajina",,,
64,9,P9,,"Defense, Deflection",,,0:18.0,N/A,N/A,2:41.45,2:59.46,Live,,,,,"#04 Allison Clarke, #07 Ana Milanovic, #06 Shawnee Nordstrom, #0 Sarah Deng, #13 Ivana Krajina",,,
65,@,P9,,Offense,,,0:05.7,N/A,N/A,2:57.48,3:03.16,Live,,,,,"#0 Sarah Deng, #04 Allison Clarke, #07 Ana Milanovic, #06 Shawnee Nordstrom, #13 Ivana Krajina",,,
66,2,P9,,"Defense, Allow Paint Touch",,,0:16.7,N/A,N/A,2:57.82,3:14.56,Live,,,,,"#13 Ivana Krajina, #0 Sarah Deng, #04 Allison Clarke, #06 Shawnee Nordstrom, #07 Ana Milanovic",,,
67,),P9,,"Offense, Whistle",,,0:14.3,N/A,N/A,3:14.56,3:28.89,Live,,,,,"#04 Allison Clarke, #13 Ivana Krajina, #0 Sarah Deng, #06 Shawnee Nordstrom, #07 Ana Milanovic, Half-court",,,
68,3,P9,,Offense,,,0:30.8,N/A,N/A,0:03.09,0:33.86,Live,,,,,"#13 Ivana Krajina, #06 Shawnee Nordstrom, #07 Ana Milanovic, #0 Sarah Deng, #04 Allison Clarke, Half-court",,,
69,),P9,,"Defense, Whistle",,,0:15.5,N/A,N/A,0:33.86,0:49.39,Live,,,,,"#0 Sarah Deng, #07 Ana Milanovic, #13 Ivana Krajina, #06 Shawnee Nordstrom, #04 Allison Clarke",,,
70,9,P9,,"Defense, Deflection",,,0:11.2,N/A,N/A,0:00.04,0:11.26,Live,,,,,"#07 Ana Milanovic, #04 Allison Clarke, #13 Ivana Krajina, #06 Shawnee Nordstrom, #0 Sarah Deng",,,
71,9,P9,,Offense,,,0:13.6,N/A,N/A,0:11.66,0:25.26,Live,,,,,"#0 Sarah Deng, #07 Ana Milanovic, #04 Allison Clarke, #13 Ivana Krajina, #06 Shawnee Nordstrom, Half-court",,,
72,2,P9,,Defense,,,0:07.6,N/A,N/A,0:24.12,0:31.72,Live,,,,,"#06 Shawnee Nordstrom, #0 Sarah Deng, #04 Allison Clarke, #07 Ana Milanovic, #13 Ivana Krajina",,,
73,@,P9,,Offense,,,0:07.1,N/A,N/A,0:31.72,0:38.83,Live,,,,,"#07 Ana Milanovic, #04 Allison Clarke, #13 Ivana Krajina, #06 Shawnee Nordstrom, #0 Sarah Deng, Transition",,,
74,),P9,,"Defense, Whistle",,,0:13.9,N/A,N/A,0:36.09,0:49.96,Live,,,,,"#04 Allison Clarke, #06 Shawnee Nordstrom, #07 Ana Milanovic, #0 Sarah Deng, #13 Ivana Krajina",,,
75,9,P9,,Defense,,,0:08.0,N/A,N/A,0:01.24,0:09.29,Live,,,,,"#04 Allison Clarke, #06 Shawnee Nordstrom, #13 Ivana Krajina, #0 Sarah Deng, #07 Ana Milanovic",,,
76,2,P9,,Offense,,,0:06.8,N/A,N/A,0:07.65,0:14.42,Live,,,,,"#13 Ivana Krajina, #06 Shawnee Nordstrom, #04 Allison Clarke, #0 Sarah Deng, #07 Ana Milanovic, Transition",,,
77,9,P10,,"Defense, Deflection",,,0:16.5,N/A,N/A,0:00.04,0:16.52,Live,,,,,"#03 Danae Powell, #06 Shawnee Nordstrom, #55 Maya Hernandez, #0 Sarah Deng, #13 Ivana Krajina",,,
