#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
12,3,P5,,"Defense, Allow Middle",,,0:20.5,N/A,N/A,2:35.79,2:56.32,Live,,,,,"#6 Shawnee Nordstrom, #55 Maya Hernandez, #0 Sarah Deng, #04 Allison Clarke, #24 Kayla Jones",,,
13,3,P5,,"Defense, Allow UC 3",,,0:22.5,N/A,N/A,3:52.25,4:14.70,Live,,,,,"#03 Danae Powell, #30 Janay Brantley, #08 Shanayka Ismar, #22 Ali'a Matavao, #11 Erica Finney",,,
14,9,P5,,Defense,,,0:14.0,N/A,N/A,4:53.79,5:07.82,Live,,,,,"#13 Ivana Krajina, #11 Erica Finney, #07 Ana Milanovic, #03 Danae Powell, #02 Mari Somvichian",,,
15,9,P5,,Defense,,,0:15.5,N/A,N/A,5:34.65,5:50.12,Live,,,,,"#0 Sarah Deng, #55 Maya Hernandez, #04 Allison Clarke, #6 Shawnee Nordstrom, #24 Kayla Jones",,,
16,2,P5,,"Defense, Allow Paint Touch",,,0:17.0,N/A,N/A,6:13.53,6:30.52,Live,,,,,"#11 Erica Finney, #08 Shanayka Ismar, #30 Janay Brantley, #03 Danae Powell, #22 Ali'a Matavao",,,
17,3,P5,,"Defense, Allow UC 3",,,0:20.6,N/A,N/A,7:02.75,7:23.37,Live,,,,,"#02 Mari Somvichian, #13 Ivana Krajina, #07 Ana Milanovic, #11 Erica Finney, #03 Danae Powell",,,
18,@,P5,,Offense,,,0:08.4,N/A,N/A,0:27.96,0:36.36,Live,,,,,"#02 Mari Somvichian, #13 Ivana Krajina, #11 Erica Finney, #07 Ana Milanovic, Half-court, #03 Danae Powell",,,
19,9,P5,,Offense,,,0:12.0,N/A,N/A,1:25.00,1:37.00,Live,,,,,"#03 Danae Powell, Half-court, #07 Ana Milanovic, #11 Erica Finney, #13 Ivana Krajina, #02 Mari Somvichian",,,
20,2,P5,,Defense,,,0:06.0,N/A,N/A,1:37.00,1:42.95,Live,,,,,"#07 Ana Milanovic, #03 Danae Powell, #13 Ivana Krajina, #11 Erica Finney, #02 Mari Somvichian",,,
21,),P5,,Offense,,,0:19.0,N/A,N/A,1:42.95,2:01.96,Live,,,,,"Transition, #03 Danae Powell, #11 Erica Finney, #13 Ivana Krajina, #02 Mari Somvichian, #07 Ana Milanovic",,,
22,9,P5,,Offense,,,0:11.7,N/A,N/A,2:42.55,2:54.22,Live,,,,,"#55 Maya Hernandez, #24 Kayla Jones, Half-court, #04 Allison Clarke, #0 Sarah Deng, #6 Shawnee Nordstrom",,,
23,9,P5,,Offense,,,0:08.2,N/A,N/A,0:12.06,0:20.29,Live,,,,,"#55 Maya Hernandez, #0 Sarah Deng, #04 Allison Clarke, #24 Kayla Jones, #6 Shawnee Nordstrom",,,
24,2,P5,,Defense,,,0:05.3,N/A,N/A,0:20.29,0:25.56,Live,,,,,"#04 Allison Clarke, #55 Maya Hernandez, #0 Sarah Deng, #24 Kayla Jones, #6 Shawnee Nordstrom",,,
25,),P5,,Offense,,,0:12.1,N/A,N/A,0:25.56,0:37.70,Live,,,,,"#0 Sarah Deng, #04 Allison Clarke, Transition, #55 Maya Hernandez, #24 Kayla Jones, #6 Shawnee Nordstrom",,,
26,),P5,,Offense,,,0:08.6,N/A,N/A,0:49.85,0:58.49,Live,,,,,"#6 Shawnee Nordstrom, #55 Maya Hernandez, #0 Sarah Deng, #24 Kayla Jones, Half-court, #04 Allison Clarke",,,
27,@-8-2,P5,,Offense,,,0:17.3,N/A,N/A,0:00.04,0:17.36,Live,,,,,"#24 Kayla Jones, #0 Sarah Deng, #04 Allison Clarke, #6 Shawnee Nordstrom, #55 Maya Hernandez, Half-court",,,
28,@,P5,,"Defense, Allow Paint Touch, Deflection",,,0:14.6,N/A,N/A,0:17.36,0:31.92,Live,,,,,"#6 Shawnee Nordstrom, #04 Allison Clarke, #0 Sarah Deng, #55 Maya Hernandez, #24 Kayla Jones",,,
29,0-2-1,P5,,"Defense, Allow Paint Touch",,,0:11.7,N/A,N/A,0:52.02,1:03.73,Live,,,,,"#6 Shawnee Nordstrom, #0 Sarah Deng, #55 Maya Hernandez, #04 Allison Clarke, #24 Kayla Jones",,,
30,9,P5,,"Defense, Allow Middle, Deflection",,,0:06.8,N/A,N/A,2:16.85,2:23.69,Live,,,,,"#24 Kayla Jones, #55 Maya Hernandez, #6 Shawnee Nordstrom, #0 Sarah Deng, #13 Ivana Krajina",,,
31,@,P5,,Offense,,,0:15.4,N/A,N/A,2:23.69,2:39.09,Live,,,,,"#55 Maya Hernandez, #24 Kayla Jones, Transition, #13 Ivana Krajina, #6 Shawnee Nordstrom, #0 Sarah Deng",,,
32,),P5,,Offense,,,0:14.6,N/A,N/A,1:38.59,1:53.20,Live,,,,,"#13 Ivana Krajina, #03 Danae Powell, #6 Shawnee Nordstrom, Half-court, #24 Kayla Jones, #55 Maya Hernandez",,,
33,#,P5,,Offense,,,0:24.2,N/A,N/A,2:18.49,2:42.72,Live,,,,,"#03 Danae Powell, #13 Ivana Krajina, Half-court, #24 Kayla Jones, #6 Shawnee Nordstrom, #55 Maya Hernandez",,,
34,9,P5,,Defense,,,0:12.6,N/A,N/A,2:45.83,2:58.38,Live,,,,,"#03 Danae Powell, #24 Kayla Jones, #55 Maya Hernandez, #13 Ivana Krajina, #6 Shawnee Nordstrom",,,
35,2,P5,,Offense,,,0:05.5,N/A,N/A,2:58.38,3:03.86,Live,,,,,"#6 Shawnee Nordstrom, Transition, #24 Kayla Jones, #03 Danae Powell, #55 Maya Hernandez, #13 Ivana Krajina",,,
36,@-8-3,P5,,Offense,,,0:14.6,N/A,N/A,0:03.81,0:18.46,Live,,,,,"#24 Kayla Jones, #08 Shanayka Ismar, #6 Shawnee Nordstrom, Half-court, #07 Ana Milanovic, #13 Ivana Krajina, #02 Mari Somvichian",,,
37,9,P5,,Defense,,,0:04.7,N/A,N/A,0:18.46,0:23.19,Live,,,,,"#02 Mari Somvichian, #24 Kayla Jones, #08 Shanayka Ismar, #13 Ivana Krajina, #07 Ana Milanovic",,,
38,9,P5,,Offense,,,0:18.6,N/A,N/A,0:23.19,0:41.80,Live,,,,,"#02 Mari Somvichian, Transition, #07 Ana Milanovic, #13 Ivana Krajina, #24 Kayla Jones, #08 Shanayka Ismar",,,
39,2,P5,,"Defense, Allow Paint Touch",,,0:15.2,N/A,N/A,0:44.81,1:00.05,Live,,,,,"#02 Mari Somvichian, #08 Shanayka Ismar, #13 Ivana Krajina, #24 Kayla Jones, #07 Ana Milanovic",,,
40,9,P5,,Offense,,,0:07.8,0:01.4,N/A,0:00.06,0:09.29,Live,,,,,"#07 Ana Milanovic, #02 Mari Somvichian, #24 Kayla Jones, Transition, #13 Ivana Krajina, #08 Shanayka Ismar",,,
41,2,P5,,Defense,,,0:10.8,N/A,N/A,0:09.29,0:20.12,Live,,,,,"#07 Ana Milanovic, #24 Kayla Jones, #13 Ivana Krajina, #08 Shanayka Ismar, #02 Mari Somvichian",,,
42,2,P5,,Offense,,,0:17.3,N/A,N/A,0:30.05,0:47.32,Live,,,,,"#07 Ana Milanovic, #04 Allison Clarke, #13 Ivana Krajina, #24 Kayla Jones, #02 Mari Somvichian, Transition",,,
43,9,P5,,Defense,,,0:14.2,N/A,N/A,0:47.32,1:01.56,Live,,,,,"#13 Ivana Krajina, #07 Ana Milanovic, #24 Kayla Jones, #02 Mari Somvichian, #04 Allison Clarke",,,
44,2,P5,,Offense,,,0:20.7,N/A,N/A,1:05.26,1:26.00,Live,,,,,"#04 Allison Clarke, #13 Ivana Krajina, #24 Kayla Jones, Transition, #07 Ana Milanovic, #02 Mari Somvichian",,,
45,#-8-),P5,,"Defense, Allow Middle, Allow O-Board",,,0:19.0,N/A,N/A,0:00.32,0:19.36,Live,,,,,"#02 Mari Somvichian, #55 Maya Hernandez, #04 Allison Clarke, #07 Ana Milanovic, #0 Sarah Deng",,,
46,9,P5,,Offense,,,0:18.7,N/A,N/A,0:22.73,0:41.40,Live,,,,,"#07 Ana Milanovic, #04 Allison Clarke, #02 Mari Somvichian, Transition, #55 Maya Hernandez, #0 Sarah Deng",,,
47,2,P5,,Offense,,,0:11.3,N/A,N/A,1:35.79,1:47.13,Live,,,,,"#55 Maya Hernandez, #02 Mari Somvichian, Half-court, #04 Allison Clarke, #07 Ana Milanovic, #0 Sarah Deng",,,
48,3,P5,,"Defense, Allow UC 3",,,0:17.6,N/A,N/A,1:47.13,2:04.70,Live,,,,,"#04 Allison Clarke, #55 Maya Hernandez, #02 Mari Somvichian, #0 Sarah Deng, #07 Ana Milanovic",,,
49,9,P5,,Offense,,,0:20.4,N/A,N/A,2:04.70,2:25.14,Live,,,,,"#0 Sarah Deng, #07 Ana Milanovic, Transition, #02 Mari Somvichian, #04 Allison Clarke, #55 Maya Hernandez",,,
50,3,P5,,Offense,,,0:11.9,N/A,N/A,0:00.13,0:12.03,Live,,,,,"#6 Shawnee Nordstrom, #13 Ivana Krajina, #0 Sarah Deng, #11 Erica Finney, Half-court, #55 Maya Hernandez",,,
51,#,P5,,"Defense, Allow UC 3",,,0:21.8,N/A,N/A,1:08.39,1:30.22,Live,,,,,"#6 Shawnee Nordstrom, #13 Ivana Krajina, #0 Sarah Deng, #55 Maya Hernandez, #11 Erica Finney",,,
52,#,P5,,Offense,,,0:18.6,N/A,N/A,1:30.22,1:48.82,Live,,,,,"#11 Erica Finney, #6 Shawnee Nordstrom, #55 Maya Hernandez, Transition, #13 Ivana Krajina, #0 Sarah Deng",,,
53,),P5,,Offense,,,0:10.9,N/A,N/A,0:07.83,0:18.76,Live,,,,,"#6 Shawnee Nordstrom, #55 Maya Hernandez, #13 Ivana Krajina, #0 Sarah Deng, #11 Erica Finney, Half-court",,,
54,2,P5,,Offense,,,0:14.4,N/A,N/A,0:51.66,1:06.06,Live,,,,,"#0 Sarah Deng, #13 Ivana Krajina, #11 Erica Finney, #6 Shawnee Nordstrom, #55 Maya Hernandez, Half-court",,,
55,9,P5,,Offense,,,0:08.1,N/A,N/A,1:27.64,1:35.75,Live,,,,,"#6 Shawnee Nordstrom, #0 Sarah Deng, #11 Erica Finney, Half-court, #55 Maya Hernandez, #13 Ivana Krajina",,,
56,9,P5,,Defense,,,0:01.7,N/A,N/A,1:35.75,1:37.50,Live,,,,,"#11 Erica Finney, #13 Ivana Krajina, #0 Sarah Deng, #6 Shawnee Nordstrom, #55 Maya Hernandez",,,
57,2,P5,,Offense,,,0:18.9,N/A,N/A,1:37.50,1:56.35,Live,,,,,"#11 Erica Finney, #55 Maya Hernandez, Half-court, #6 Shawnee Nordstrom, #13 Ivana Krajina, #0 Sarah Deng",,,
58,),P5,,Defense,,,0:13.0,N/A,N/A,1:56.35,2:09.40,Live,,,,,"#6 Shawnee Nordstrom, #0 Sarah Deng, #11 Erica Finney, #55 Maya Hernandez, #13 Ivana Krajina",,,
59,2,P5,,"Defense, Allow Paint Touch",,,0:11.7,N/A,N/A,0:00.10,0:11.83,Live,,,,,"#55 Maya Hernandez, #0 Sarah Deng, #6 Shawnee Nordstrom, #11 Erica Finney, #13 Ivana Krajina",,,
60,9,P5,,Offense,,,0:12.4,N/A,N/A,0:11.83,0:24.23,Live,,,,,"#13 Ivana Krajina, #55 Maya Hernandez, Transition, #6 Shawnee Nordstrom, #11 Erica Finney, #0 Sarah Deng",,,
61,@-8-),P6,,"Defense, Allow Paint Touch, Allow O-Board",,,0:17.4,N/A,N/A,4:12.42,4:29.80,Live,,,,,"#02 Mari Somvichian, #13 Ivana Krajina, #06 Shawnee Nordstrom, #24 Kayla Jones, #04 Allison Clarke",,,
62,),P6,,Defense,,,0:20.5,N/A,N/A,4:55.02,5:15.55,Live,,,,,"#30 Janay Brantley, #03 Danae Powell, #55 Maya Hernandez, #08 Shanayka Ismar, #22 Ali'a Matavao",,,
63,@,P6,,"Defense, Allow Paint Touch, Allow Middle",,,0:15.8,N/A,N/A,5:24.96,5:40.76,Live,,,,,"#11 Erica Finney, #06 Shawnee Nordstrom, #07 Ana Milanovic, #0 Sarah Deng, #04 Allison Clarke",,,
64,3,P6,,Defense,,,0:13.7,N/A,N/A,5:45.65,5:59.40,Live,,,,,"#0 Sarah Deng, #04 Allison Clarke, #07 Ana Milanovic, #11 Erica Finney, #06 Shawnee Nordstrom",,,
65,@,P6,,"Defense, Allow Paint Touch",,,0:15.0,N/A,N/A,6:31.89,6:46.92,Live,,,,,"#24 Kayla Jones, #0 Sarah Deng, #08 Shanayka Ismar, #02 Mari Somvichian, #03 Danae Powell",,,
66,2,P6,,"Defense, Allow Paint Touch",,,0:18.8,N/A,N/A,6:53.36,7:12.19,Live,,,,,"#24 Kayla Jones, #02 Mari Somvichian, #03 Danae Powell, #0 Sarah Deng, #08 Shanayka Ismar",,,
67,),P6,,Defense,,,0:11.3,N/A,N/A,0:08.45,0:19.75,Live,,,,,"#06 Shawnee Nordstrom, #30 Janay Brantley, #04 Allison Clarke, #55 Maya Hernandez, #22 Ali'a Matavao",,,
68,9,P6,,Defense,,,0:16.9,N/A,N/A,1:01.21,1:18.12,Live,,,,,"#55 Maya Hernandez, #22 Ali'a Matavao, #04 Allison Clarke, #30 Janay Brantley, #06 Shawnee Nordstrom",,,
69,9,P6,,"Defense, Allow Paint Touch",,,0:12.6,N/A,N/A,0:23.85,0:36.49,Live,,,,,"#07 Ana Milanovic, #13 Ivana Krajina, #02 Mari Somvichian, #03 Danae Powell, #11 Erica Finney",,,
70,9,P6,,Defense,,,0:08.5,N/A,N/A,0:44.91,0:53.43,Live,,,,,"#08 Shanayka Ismar, #0 Sarah Deng, #55 Maya Hernandez, #06 Shawnee Nordstrom, #24 Kayla Jones",,,
71,#-8-2,P6,,"Defense, Allow UC 3, Allow O-Board",,,0:14.0,N/A,N/A,1:50.15,2:04.19,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #55 Maya Hernandez, #08 Shanayka Ismar, #24 Kayla Jones",,,
72,2,P6,,"Defense, Allow Paint Touch",,,0:09.9,N/A,N/A,2:13.01,2:22.93,Live,,,,,"#02 Mari Somvichian, #04 Allison Clarke, #07 Ana Milanovic, #30 Janay Brantley, #22 Ali'a Matavao",,,
73,2,P6,,"Defense, Allow Paint Touch",,,0:11.5,N/A,N/A,3:15.99,3:27.49,Live,,,,,"#02 Mari Somvichian, #04 Allison Clarke, #30 Janay Brantley, #07 Ana Milanovic, #22 Ali'a Matavao",,,
74,),P6,,Defense,,,0:07.8,N/A,N/A,3:44.75,3:52.52,Live,,,,,"#08 Shanayka Ismar, #11 Erica Finney, #06 Shawnee Nordstrom, #03 Danae Powell, #24 Kayla Jones",,,
75,),P6,,Defense,,,0:06.9,N/A,N/A,3:58.66,4:05.55,Live,,,,,"#13 Ivana Krajina, #24 Kayla Jones, #06 Shawnee Nordstrom, #03 Danae Powell, #08 Shanayka Ismar",,,
76,@,P6,,Defense,,,0:13.7,N/A,N/A,4:20.85,4:34.52,Live,,,,,"#06 Shawnee Nordstrom, #11 Erica Finney, #24 Kayla Jones, #03 Danae Powell, #08 Shanayka Ismar",,,
77,9,P6,,"Defense, Deflection",,,0:07.0,N/A,N/A,0:03.01,0:09.96,Live,,,,,"#02 Mari Somvichian, #30 Janay Brantley, #55 Maya Hernandez, #0 Sarah Deng, #03 Danae Powell",,,
78,3,P6,,"Defense, Allow UC 3",,,0:14.4,N/A,N/A,0:17.71,0:32.15,Live,,,,,"#0 Sarah Deng, #55 Maya Hernandez, #30 Janay Brantley, #02 Mari Somvichian, #03 Danae Powell",,,
79,2,P6,,Offense,,,0:16.0,N/A,N/A,0:56.62,1:12.59,Live,,,,,"#03 Danae Powell, #13 Ivana Krajina, #06 Shawnee Nordstrom, Half-court, #24 Kayla Jones, #0 Sarah Deng",,,
80,3,P6,,"Defense, Allow UC 3",,,0:20.3,N/A,N/A,1:12.59,1:32.89,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #13 Ivana Krajina, #03 Danae Powell, #24 Kayla Jones",,,
81,2,P6,,Offense,,,0:09.7,N/A,N/A,1:32.89,1:42.55,Live,,,,,"#06 Shawnee Nordstrom, #03 Danae Powell, #13 Ivana Krajina, #24 Kayla Jones, Transition, #0 Sarah Deng",,,
82,@,P6,,Offense,,,0:29.0,N/A,N/A,0:05.29,0:34.26,Live,,,,,"#55 Maya Hernandez, #07 Ana Milanovic, Half-court, #04 Allison Clarke, #08 Shanayka Ismar, #02 Mari Somvichian",,,
83,),P6,,Offense,,,0:06.2,N/A,N/A,0:00.00,0:06.16,Live,,,,,"#03 Danae Powell, #11 Erica Finney, #24 Kayla Jones, #06 Shawnee Nordstrom, Half-court, #13 Ivana Krajina",,,
84,),P6,,Offense,,,0:09.0,N/A,N/A,0:46.52,0:55.57,Live,,,,,"#03 Danae Powell, #24 Kayla Jones, #11 Erica Finney, #13 Ivana Krajina, #06 Shawnee Nordstrom, Half-court",,,
85,),P6,,Offense,,,0:18.7,N/A,N/A,1:10.76,1:29.45,Live,,,,,"Half-court, #03 Danae Powell, #06 Shawnee Nordstrom, #24 Kayla Jones, #11 Erica Finney, #13 Ivana Krajina",,,
86,#,P6,,Offense,,,0:14.0,N/A,N/A,2:34.99,2:48.99,Live,,,,,"#13 Ivana Krajina, Half-court, #03 Danae Powell, #06 Shawnee Nordstrom, #04 Allison Clarke, #24 Kayla Jones",,,
87,),P6,,Defense,,,0:06.0,N/A,N/A,2:48.99,2:54.99,Live,,,,,"#04 Allison Clarke, #13 Ivana Krajina, #03 Danae Powell, #06 Shawnee Nordstrom, #24 Kayla Jones",,,
88,#-8,P6,,Offense,,,0:22.8,0:07.6,0:30.3,3:36.61,4:06.95,Live,,,,,"#04 Allison Clarke, #24 Kayla Jones, Transition, #03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina",,,
89,2,P6,,Offense,,,0:17.6,N/A,N/A,4:20.29,4:37.89,Live,,,,,"#03 Danae Powell, #13 Ivana Krajina, Half-court, #04 Allison Clarke, #24 Kayla Jones, #06 Shawnee Nordstrom",,,
90,),P6,,Defense,,,0:10.0,N/A,N/A,4:37.89,4:47.92,Live,,,,,"#03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #04 Allison Clarke, #24 Kayla Jones",,,
91,0-1-1,P6,,"Defense, Allow Paint Touch",,,0:10.5,N/A,N/A,0:00.23,0:10.70,Live,,,,,"#24 Kayla Jones, #04 Allison Clarke, #06 Shawnee Nordstrom, #03 Danae Powell, #13 Ivana Krajina",,,
92,2,P6,,"Defense, Allow Paint Touch",,,0:13.0,N/A,N/A,1:10.77,1:23.76,Live,,,,,"#13 Ivana Krajina, #04 Allison Clarke, #03 Danae Powell, #06 Shawnee Nordstrom, #24 Kayla Jones",,,
93,2,P6,,Offense,,,0:13.1,N/A,N/A,1:23.76,1:36.83,Live,,,,,"#24 Kayla Jones, #04 Allison Clarke, #13 Ivana Krajina, #03 Danae Powell, #06 Shawnee Nordstrom, Transition",,,
94,),P6,,Offense,,,0:07.0,N/A,N/A,1:50.53,1:57.49,Live,,,,,"Half-court, #02 Mari Somvichian, #11 Erica Finney, #0 Sarah Deng, #55 Maya Hernandez, #07 Ana Milanovic",,,
95,@-8,P6,,Offense,,,0:23.7,N/A,N/A,2:09.68,2:33.40,Live,,,,,"#0 Sarah Deng, #07 Ana Milanovic, #02 Mari Somvichian, #55 Maya Hernandez, Transition, #11 Erica Finney",,,
96,9,P6,,Offense,,,0:13.3,N/A,N/A,3:17.86,3:31.20,Live,,,,,"#11 Erica Finney, #55 Maya Hernandez, Half-court, #0 Sarah Deng, #02 Mari Somvichian, #07 Ana Milanovic",,,
97,@,P6,,Offense,,,0:13.9,N/A,N/A,3:56.25,4:10.16,Live,,,,,"Half-court, #0 Sarah Deng, #02 Mari Somvichian, #11 Erica Finney, #13 Ivana Krajina, #07 Ana Milanovic",,,
98,2,P6,,Offense,,,0:11.6,N/A,N/A,4:38.59,4:50.22,Live,,,,,"#0 Sarah Deng, #13 Ivana Krajina, Half-court, #02 Mari Somvichian, #11 Erica Finney, #07 Ana Milanovic",,,
99,9,P6,,"Defense, Allow Middle, Allow Paint Touch",,,0:16.2,N/A,N/A,4:50.22,5:06.38,Live,,,,,"#07 Ana Milanovic, #02 Mari Somvichian, #0 Sarah Deng, #11 Erica Finney, #13 Ivana Krajina",,,
100,),P6,,Offense,,,0:08.6,N/A,N/A,5:06.38,5:14.93,Live,,,,,"#11 Erica Finney, #0 Sarah Deng, #02 Mari Somvichian, #07 Ana Milanovic, Transition, #13 Ivana Krajina",,,
101,0-2-1,P7,,"Defense, Allow Paint Touch",,,0:15.6,N/A,N/A,1:06.82,1:22.46,Live,,,,,"#06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones, #55 Maya Hernandez, #03 Danae Powell, Half-court",,,
102,9,P7,,Defense,,,0:09.9,N/A,N/A,1:45.11,1:55.00,Live,,,,,"#03 Danae Powell, #13 Ivana Krajina, #06 Shawnee Nordstrom, #55 Maya Hernandez, #24 Kayla Jones",,,
103,),P7,,"Defense, Deflection",,,0:14.4,N/A,N/A,1:58.56,2:12.92,Live,,,,,"#13 Ivana Krajina, #55 Maya Hernandez, #03 Danae Powell, #06 Shawnee Nordstrom, #24 Kayla Jones",,,
104,9,P7,,Defense,,,0:13.5,N/A,N/A,2:22.19,2:35.66,Live,,,,,"#13 Ivana Krajina, #24 Kayla Jones, #06 Shawnee Nordstrom, #03 Danae Powell, #55 Maya Hernandez",,,
105,0-1-!,P7,,Defense,,,0:20.3,N/A,N/A,0:04.25,0:24.50,Live,,,,,"Half-court, #02 Mari Somvichian, #04 Allison Clarke, #13 Ivana Krajina, #0 Sarah Deng, #07 Ana Milanovic",,,
106,9,P7,,"Defense, Deflection",,,0:11.9,N/A,N/A,0:49.43,1:01.29,Live,,,,,"#04 Allison Clarke, #07 Ana Milanovic, #13 Ivana Krajina, #0 Sarah Deng, #02 Mari Somvichian",,,
107,2,P7,,"Defense, Allow Paint Touch",,,0:13.2,N/A,N/A,1:12.84,1:26.07,Live,,,,,"#04 Allison Clarke, #07 Ana Milanovic, #13 Ivana Krajina, #02 Mari Somvichian, #0 Sarah Deng, Half-court",,,
108,),P7,,Defense,,,0:13.3,N/A,N/A,0:19.01,0:32.28,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #04 Allison Clarke, #07 Ana Milanovic, Half-court, #13 Ivana Krajina",,,
109,@-8-#-8-0-1-1,P7,,"Defense, Allow Paint Touch, Allow O-Board",,,0:32.2,N/A,N/A,1:05.38,1:37.56,Live,,,,,"#08 Shanayka Ismar, #24 Kayla Jones, #06 Shawnee Nordstrom, Half-court, #55 Maya Hernandez, #11 Erica Finney",,,
110,#-8-3,P7,,"Defense, Allow Paint Touch, Allow O-Board, Allow UC 3",,,0:20.1,N/A,N/A,2:10.54,2:30.69,Live,,,,,"#06 Shawnee Nordstrom, #55 Maya Hernandez, #11 Erica Finney, Half-court, #08 Shanayka Ismar, #24 Kayla Jones",,,
111,9,P7,,"Defense, Allow Paint Touch",,,0:18.2,N/A,N/A,2:40.98,2:59.22,Live,,,,,"#06 Shawnee Nordstrom, #11 Erica Finney, #08 Shanayka Ismar, #24 Kayla Jones, #55 Maya Hernandez",,,
112,9,P7,,"Defense, Deflection",,,0:23.5,N/A,N/A,0:32.58,0:56.10,Live,,,,,"#08 Shanayka Ismar, #24 Kayla Jones, #11 Erica Finney, #06 Shawnee Nordstrom, Half-court, #55 Maya Hernandez",,,
113,),P7,,Offense,,,0:03.1,N/A,N/A,0:15.94,0:19.06,Live,,,,,"#03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #0 Sarah Deng, #24 Kayla Jones",,,
114,3,P7,,Offense,,,0:21.5,N/A,N/A,0:49.46,1:10.93,Live,,,,,"#03 Danae Powell, #0 Sarah Deng, #13 Ivana Krajina, #06 Shawnee Nordstrom, Half-court, #24 Kayla Jones",,,
115,9,P7,,"Defense, Deflection",,,0:14.5,N/A,N/A,1:10.93,1:25.45,Live,,,,,"#03 Danae Powell, #0 Sarah Deng, #24 Kayla Jones, Half-court, #13 Ivana Krajina, #06 Shawnee Nordstrom",,,
116,#-8-#-),P7,,Offense,,,0:15.5,N/A,N/A,1:24.71,1:40.23,Live,,,,,"#06 Shawnee Nordstrom, #03 Danae Powell, #13 Ivana Krajina, #24 Kayla Jones, #0 Sarah Deng, Transition",,,
117,9,P7,,Offense,,,0:07.8,N/A,N/A,0:07.75,0:15.55,Live,,,,,"#13 Ivana Krajina, #24 Kayla Jones, #03 Danae Powell, #06 Shawnee Nordstrom, #0 Sarah Deng, Half-court",,,
118,0-1-!,P7,,"Defense, Allow Paint Touch",,,0:15.8,N/A,N/A,0:19.82,0:35.63,Live,,,,,"#13 Ivana Krajina, #0 Sarah Deng, #03 Danae Powell, #24 Kayla Jones, #06 Shawnee Nordstrom, Half-court",,,
